Yearclass,SSB,Observed_Recruitment
1948,4518040,56145093
1949,4385050,50464602
1950,4330430,69407566
1951,4136480,61716445
1952,4136990,58747959
1953,3910340,59467218
1954,3663330,56609612
1955,3560320,47813982
1956,3291180,34964602
1957,2972320,86471368
1958,2418190,32612252
1959,3599930,37555591
1960,2981130,15555432
1961,2865720,70626790
1962,2007080,31537174
1963,2912220,42042143
1964,2649680,44071367
1965,2126230,21386902
1966,1628400,22258706
1967,1031640,28554312
1968,570384,29461218
1969,495514,13785776
1970,475644,29192220
1971,327069,22447234
1972,333097,15653161
1973,296100,7910321
1974,199150,14307598
1975,113624,3221820
1976,152709,4171184
1977,103618,4999661
1978,137193,5307598
1979,181098,10119897
1980,198595,15392756
1981,297379,36813217
1982,414810,58141143
1983,630887,57095225
1984,1048400,54817934
1985,1137080,66142150
1986,1150430,79764521
1987,1361420,76685393
1988,1772460,43716643
1989,1796410,37172373
1990,1891780,30841310
1991,1671160,34062991
1992,1303370,64013959
1993,945614,66075478
1994,1005750,50599536
1995,1075220,58787521
1996,1195870,47093490
1997,1353060,37743240
1998,1577830,24540245
1999,1620660,77447966
2000,1680650,52720654
2001,2147020,98596630
2002,2538990,47474912
2003,2608510,26513951
2004,2536540,31143087
2005,2333020,28861577
2006,1899840,26320079
2007,1540250,30295733
2008,1612820,28331385
2009,1905820,46331823
2010,2023720,37007850
2011,2421690,33186133
2012,2553070,31809759
2013,2327400,39244296
2014,2250320,62713688
2015,2059980,16493131
2016,2357200,32135412
2017,1886840,18500941
