Yearclass,Spawners (kt),Recruits (millions age 0)
1972,293.120,8738.656
1973,274.699,32331.910
1974,321.906,50765.467
1975,157.703,3121.856
1976,193.539,5393.141
1977,348.050,11907.538
1978,158.339,24519.908
1979,93.237,48276.386
1980,103.372,8994.401
1981,192.108,15261.807
1982,426.693,9232.003
1983,295.226,29543.509
1984,237.031,5949.746
1985,166.700,9642.389
1986,285.507,17814.510
1987,161.662,210.743
1988,125.842,1115.116
1989,177.242,1853.396
1990,85.160,8410.272
1991,51.828,9933.569
1992,55.015,16817.751
1993,117.925,4286.522
1994,138.404,16989.806
1995,195.770,4782.853
1996,125.611,6840.430
1997,255.801,4193.095
1998,186.995,3077.120
1999,145.643,46584.026
2000,95.954,9156.133
2001,66.008,920.372
2002,550.753,1164.424
2003,482.786,1326.733
2004,338.047,1192.405
2005,254.992,13297.296
2006,177.633,2738.267
2007,148.434,1799.180
2008,301.827,1221.123
2009,250.312,9633.460
2010,232.743,804.222
2011,165.311,65.563
2012,334.919,1082.830
2013,263.066,457.363
2014,190.277,6285.135
2015,149.626,1557.364
2016,127.240,2910.963
2017,224.216,1257.282
2018,200.462,2402.113
2019,247.936,13559.848
2020,243.433,13682.503
2021,256.765,6640.480
