Year,0,1,2,3,4,5,6,7,8+
1972,0.025,0.117,0.242,0.383,0.503,0.585,0.987,1.380,1.693
1973,0.043,0.118,0.239,0.369,0.578,0.611,0.648,1.044,1.660
1974,0.025,0.129,0.226,0.339,0.536,0.867,0.828,0.863,1.502
1975,0.023,0.105,0.240,0.353,0.442,0.678,1.190,1.077,1.076
1976,0.014,0.129,0.225,0.394,0.505,0.578,0.916,1.829,1.300
1977,0.020,0.111,0.238,0.339,0.586,0.612,0.787,1.160,1.584
1978,0.011,0.104,0.254,0.396,0.424,0.707,0.784,0.921,1.446
1979,0.009,0.093,0.287,0.417,0.611,0.669,0.931,1.241,1.418
1980,0.012,0.081,0.276,0.464,0.693,0.985,0.908,1.264,1.664
1981,0.009,0.060,0.264,0.445,0.726,1.055,1.222,1.195,1.612
1982,0.010,0.074,0.286,0.423,0.759,1.109,1.415,1.578,1.523
1983,0.011,0.132,0.303,0.431,0.612,0.904,1.211,1.191,1.555
1984,0.010,0.142,0.303,0.461,0.645,0.736,1.077,1.205,1.847
1985,0.010,0.148,0.296,0.466,0.649,0.835,0.934,1.344,1.845
1986,0.023,0.123,0.261,0.406,0.600,0.848,1.195,1.098,1.654
1987,0.010,0.125,0.264,0.405,0.594,0.974,1.215,1.322,1.339
1988,0.042,0.163,0.232,0.411,0.581,0.731,1.203,1.363,1.156
1989,0.036,0.200,0.282,0.367,0.590,0.770,0.935,1.259,1.322
1990,0.040,0.187,0.313,0.422,0.506,0.795,0.995,1.179,1.768
1991,0.030,0.175,0.308,0.454,0.574,0.644,0.959,1.136,1.419
1992,0.019,0.102,0.306,0.466,0.717,0.923,0.903,1.382,1.746
1993,0.010,0.110,0.282,0.454,0.660,0.877,1.053,1.062,1.646
1994,0.018,0.121,0.247,0.435,0.599,0.846,1.240,1.274,1.439
1995,0.012,0.107,0.290,0.369,0.581,0.774,1.058,1.418,1.368
1996,0.022,0.126,0.241,0.382,0.484,0.746,0.847,0.825,1.617
1997,0.029,0.138,0.280,0.360,0.585,0.634,0.923,0.997,1.548
1998,0.027,0.153,0.255,0.396,0.444,0.665,0.777,1.041,1.210
1999,0.025,0.166,0.250,0.356,0.477,0.510,0.735,0.798,0.914
2000,0.052,0.121,0.256,0.355,0.480,0.605,0.656,1.033,1.083
2001,0.029,0.111,0.219,0.321,0.466,0.658,0.735,0.945,1.573
2002,0.017,0.109,0.255,0.311,0.527,0.703,0.829,0.818,1.508
2003,0.024,0.082,0.221,0.327,0.400,0.681,0.758,1.110,1.535
2004,0.039,0.139,0.238,0.378,0.395,0.440,0.686,0.926,1.507
2005,0.054,0.160,0.271,0.364,0.495,0.479,0.522,0.925,1.263
2006,0.042,0.126,0.283,0.352,0.442,0.507,0.538,0.550,1.277
2007,0.042,0.159,0.227,0.407,0.478,0.538,0.657,0.700,0.749
2008,0.030,0.170,0.256,0.366,0.593,0.662,0.714,0.928,0.898
2009,0.048,0.175,0.305,0.323,0.388,0.677,0.799,0.839,1.162
2010,0.016,0.078,0.288,0.411,0.454,0.466,0.710,0.899,1.396
2011,0.017,0.140,0.260,0.399,0.434,0.466,0.534,0.661,0.930
2012,0.035,0.160,0.439,0.408,0.576,0.706,0.711,0.654,1.402
2013,0.034,0.172,0.425,0.599,0.487,0.727,0.854,0.796,0.768
2014,0.042,0.139,0.433,0.589,0.656,0.537,0.780,0.831,0.831
2015,0.031,0.145,0.417,0.561,0.752,0.698,0.631,0.685,0.781
2016,0.048,0.154,0.362,0.642,0.776,0.886,0.989,0.738,1.002
2017,0.039,0.149,0.338,0.447,0.775,0.957,1.274,1.031,0.935
2018,0.043,0.139,0.356,0.504,0.533,1.024,1.031,1.135,0.970
2019,0.044,0.150,0.310,0.463,0.629,0.579,1.013,0.983,1.944
2020,0.046,0.128,0.347,0.498,0.580,0.839,0.613,1.641,2.479
