Year	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1970	58920	104298	127233	17510	6528	1430	463	161	43	259	435	436	655	732	593
1971	62033	152003	37948	46241	456	865	1357	1661	1180	758	805	797	1030	1090	968
1972	45351	98312	33605	2514	3963	1222	92	470	465	292	185	403	730	1053	929
1973	5065	73591	29957	5877	2254	2443	387	652	1270	829	265	506	643	696	587
1974	55806	19939	20430	5639	2972	1448	640	739	595	609	869	516	600	2027	1425
1975	43303	147653	6554	13155	907	709	283	253	419	775	1290	1058	1080	1202	1395
1976	5532	19427	71850	2576	2743	1062	200	117	702	679	480	844	1802	2179	2176
1977	1508	22182	9014	28496	7931	2699	2592	546	309	607	947	971	830	1157	1619
1978	5564	10530	18969	4889	8281	7341	1392	447	405	252	208	348	536	588	1181
1979	2828	10585	15537	8581	9754	1861	2843	1946	554	349	359	458	771	1137	1525
1980	3246	16081	9991	8124	4129	1552	2327	4658	3447	973	599	584	620	685	1088
1981	6290	9814	16530	3729	5692	3462	2613	2191	2271	2470	1392	1101	833	737	611
1982	3608	3652	1517	523	245	460	490	391	297	500	662	600	458	239	176
1983	3474	2463	3091	771	615	860	705	1102	953	773	682	585	739	705	463
1984	1126	7240	1691	1493	2005	1577	927	451	521	642	702	743	676	858	551
1985	776	5395	12162	2131	3523	3880	1957	728	480	436	457	612	834	794	1066
1986	967	5898	6478	2914	1437	1177	1136	657	436	381	303	366	607	670	863
1987	2326	12579	8766	4517	3830	3741	1240	1316	985	1037	507	414	441	492	501
1988	4935	9303	11087	3821	3362	3299	3132	1575	1064	926	902	619	546	523	526
1989	842	12925	1542	3104	2519	1480	1621	2160	1615	1090	835	900	716	641	575
1990	2993	3583	17800	1798	2207	2135	1141	1308	1646	1534	885	681	611	522	531
1991	4111	14055	10072	3081	1944	1484	1836	1727	1536	1457	1110	902	628	583	544
1992	589	6088	1922	1053	1187	1332	871	1639	1723	935	932	980	849	663	481
1993	416	1066	4385	3482	2276	1429	1644	1232	1749	1641	831	569	472	360	286
1994	2052	720	1235	2140	2516	1828	1154	1519	2232	1082	937	793	469	399	257
1995	933	1347	3242	2979	2860	4258	1310	609	883	1584	1015	637	505	402	366
1996	526	9349	1676	4657	3341	1122	1385	2318	806	636	1015	909	671	502	429
1997	249	1103	6392	928	1338	1502	1357	1816	1851	1138	605	609	736	672	537
1998	341	889	3486	3483	652	1136	756	1436	2321	2586	1353	725	681	731	486
1999	102	560	1946	1849	1760	799	743	1817	1402	1803	1879	1677	1096	735	577
2000	98	287	1053	1174	3599	3127	1661	1321	1275	1204	1051	1140	1093	824	489
2001	1430	361	2402	4352	987	1303	1748	2227	735	960	1193	1319	1282	1068	753
2002	847	5559	4081	4528	4581	1305	990	2962	2542	1576	1124	949	1124	1056	957
2003	283	2704	4521	3661	1874	1466	327	1314	2155	1633	853	444	585	570	648
2004	814	2674	6944	2586	2752	2907	1454	1522	999	1018	769	582	492	336	331
2005	721	4890	2470	2561	1083	840	688	977	840	703	992	1041	653	424	405
2006	211	630	1245	1746	2452	2004	1063	1073	1373	1253	914	775	572	397	520
2007	65	258	6687	9284	2119	1794	1214	664	575	353	469	402	341	270	253
2008	85	788	2292	2102	6401	1614	1797	1829	1190	850	677	415	376	272	364
2009	72	222	2192	1194	987	4540	1559	713	986	876	705	476	337	387	409
2010	66	1097	840	1830	635	632	691	1901	730	995	1094	629	439	438	471
2011	3	560	1617	1592	2055	1261	556	2789	2172	643	624	614	540	431	343
2012	110	404	1854	1212	466	606	692	718	1231	1614	1144	476	489	388	419
2013	48	268	557	1254	196	555	588	957	601	599	923	792	509	352	354
