year,1,2,3,4,5,6,7,8,9,10+
1963,0.01,0.05,0.23,0.62,0.86,1,1,1,1,1
1964,0.01,0.05,0.23,0.62,0.86,1,1,1,1,1
1965,0.01,0.05,0.23,0.62,0.86,1,1,1,1,1
1966,0.01,0.05,0.23,0.62,0.86,1,1,1,1,1
1967,0.01,0.05,0.23,0.62,0.86,1,1,1,1,1
1968,0.01,0.05,0.23,0.62,0.86,1,1,1,1,1
1969,0.01,0.05,0.23,0.62,0.86,1,1,1,1,1
1970,0.01,0.05,0.23,0.62,0.86,1,1,1,1,1
1971,0.01,0.05,0.23,0.62,0.86,1,1,1,1,1
1972,0.01,0.05,0.23,0.62,0.86,1,1,1,1,1
1973,0.011,0.051,0.236,0.64,0.883,1,1,1,1,1
1974,0.01,0.053,0.229,0.616,0.85,1,1,1,1,1
1975,0.01,0.054,0.223,0.591,0.817,1,1,1,1,1
1976,0.009,0.055,0.218,0.568,0.786,1,1,1,1,1
1977,0.008,0.056,0.213,0.546,0.756,1,1,1,1,1
1978,0.006,0.057,0.21,0.526,0.73,1,1,1,1,1
1979,0.005,0.057,0.207,0.509,0.708,1,1,1,1,1
1980,0.004,0.058,0.206,0.496,0.691,1,1,1,1,1
1981,0.003,0.058,0.206,0.487,0.681,1,1,1,1,1
1982,0.004,0.06,0.208,0.483,0.678,1,1,1,1,1
1983,0.005,0.062,0.212,0.485,0.682,1,1,1,1,1
1984,0.007,0.065,0.221,0.492,0.693,1,1,1,1,1
1985,0.009,0.069,0.235,0.505,0.709,1,1,1,1,1
1986,0.012,0.074,0.255,0.524,0.73,1,1,1,1,1
1987,0.014,0.08,0.282,0.547,0.754,1,1,1,1,1
1988,0.016,0.086,0.314,0.574,0.779,1,1,1,1,1
1989,0.016,0.092,0.349,0.603,0.805,1,1,1,1,1
1990,0.016,0.097,0.385,0.633,0.829,1,1,1,1,1
1991,0.014,0.103,0.419,0.661,0.851,1,1,1,1,1
1992,0.012,0.109,0.447,0.688,0.87,1,1,1,1,1
1993,0.009,0.115,0.468,0.711,0.887,1,1,1,1,1
1994,0.007,0.122,0.482,0.73,0.902,1,1,1,1,1
1995,0.005,0.131,0.488,0.745,0.914,1,1,1,1,1
1996,0.003,0.142,0.49,0.757,0.924,1,1,1,1,1
1997,0.003,0.156,0.491,0.767,0.932,1,1,1,1,1
1998,0.002,0.173,0.495,0.775,0.938,1,1,1,1,1
1999,0.003,0.192,0.505,0.782,0.943,1,1,1,1,1
2000,0.004,0.213,0.524,0.791,0.946,1,1,1,1,1
2001,0.006,0.235,0.552,0.799,0.949,1,1,1,1,1
2002,0.008,0.258,0.588,0.809,0.95,1,1,1,1,1
2003,0.011,0.279,0.629,0.82,0.951,1,1,1,1,1
2004,0.016,0.298,0.671,0.831,0.951,1,1,1,1,1
2005,0.021,0.315,0.71,0.841,0.952,1,1,1,1,1
2006,0.027,0.329,0.741,0.851,0.953,1,1,1,1,1
2007,0.034,0.339,0.761,0.859,0.953,1,1,1,1,1
2008,0.041,0.348,0.768,0.866,0.953,1,1,1,1,1
2009,0.048,0.353,0.763,0.872,0.953,1,1,1,1,1
2010,0.055,0.357,0.748,0.875,0.953,1,1,1,1,1
2011,0.059,0.359,0.724,0.876,0.952,1,1,1,1,1
2012,0.062,0.36,0.696,0.876,0.951,1,1,1,1,1
2013,0.063,0.359,0.668,0.873,0.949,1,1,1,1,1
2014,0.061,0.357,0.643,0.868,0.948,1,1,1,1,1
2015,0.056,0.354,0.622,0.862,0.947,1,1,1,1,1
2016,0.05,0.35,0.605,0.854,0.947,1,1,1,1,1
2017,0.042,0.344,0.594,0.846,0.947,1,1,1,1,1
2018,0.033,0.339,0.585,0.836,0.947,1,1,1,1,1
