year,1,2,3,4,5,6,7,8,9,10+
1963,19347,62280,7028,3519,2774,1207,81,489,13,6
1964,13052,28541,20118,4285,1908,1809,596,117,93,15
1965,113655,58227,17646,9135,2375,946,655,297,51,83
1966,126508,84327,29766,6153,3362,1272,475,368,125,139
1967,60962,95275,32689,11205,3255,1964,884,353,137,57
1968,36915,106373,42569,12330,6046,1407,866,307,150,135
1969,5434,32840,31532,13641,4542,2881,585,420,147,124
1970,107177,42403,18547,13272,6266,1754,956,208,185,137
1971,303519,191789,17179,6720,7065,2686,888,455,227,170
1972,42062,246086,48062,5653,2713,3184,1671,609,388,129
1973,111751,48983,54901,14002,2195,1103,1055,487,79,218
1974,139635,74502,11418,15745,4601,956,436,393,330,268
1975,169862,63121,18849,4640,7525,2057,447,195,228,158
1976,232476,182989,18672,6707,1732,3056,920,130,67,105
1977,547729,98935,25989,4597,2286,833,1140,370,262,122
1978,58501,253025,17178,9396,2989,1103,408,403,152,79
1979,615698,96413,44384,4011,3375,708,396,139,157,59
1980,1248084,122048,34938,12274,1958,1269,494,197,73,81
1981,175863,221933,34646,8953,4088,779,599,133,64,57
1982,248166,73132,60005,9487,3447,2048,425,234,77,42
1983,80437,139526,21480,11787,2803,1246,589,179,89,51
1984,601879,78543,31092,4238,3415,1013,434,243,59,64
1985,72096,153957,19003,7779,1369,1257,371,172,78,46
1986,663347,38069,34277,5791,2981,602,554,170,69,67
1987,49451,189722,9761,8689,1528,1071,234,215,55,60
1988,36738,72109,43929,3117,2543,652,293,66,63,41
1989,198992,44768,18544,9791,994,1028,249,139,27,41
1990,45504,102027,11873,4299,2445,307,307,54,60,21
1991,60761,31528,17002,3267,1372,1039,222,137,27,14
1992,129572,41353,8525,4916,1041,482,323,51,39,26
1993,38121,82709,11145,3126,1546,426,200,106,17,23
1994,336092,41773,21045,3045,859,513,140,57,32,22
1995,60242,106084,12783,5223,790,282,148,41,14,18
1996,19124,59360,23809,3125,1834,393,159,87,42,12
1997,109552,42494,18430,6409,1221,690,151,47,14,25
1998,16701,171206,18293,5909,2379,504,233,41,16,16
1999,36793,15180,39904,3959,1419,614,219,89,14,12
2000,45118,27965,6310,6529,996,375,135,39,18,6
2001,7624,53403,6797,1114,1053,140,82,27,13,7
2002,30692,21265,17012,2805,395,384,58,38,18,4
2003,6135,14975,4328,3127,397,68,61,15,5,3
2004,21807,12452,7460,1650,944,155,29,19,6,2
2005,11222,16478,4831,1863,546,351,52,13,11,2
2006,28177,39743,6375,1020,524,187,121,23,4,1
2007,16947,29381,4921,2043,451,161,40,41,6,2
2008,11185,12599,11721,1369,720,224,70,26,13,2
2009,10127,13887,5494,3539,646,254,53,19,17,14
2010,10987,14188,5831,1646,1344,199,65,16,6,5
2011,5035,12391,4970,1489,616,455,49,28,5,4
2012,11815,7420,6789,2077,638,249,139,15,4,5
2013,6871,8743,3919,2989,949,229,100,38,5,2
2014,9995,10711,5810,1768,1345,337,64,38,6,2
2015,4666,15319,6869,2113,800,648,159,27,9,3
2016,3234,6977,8754,3408,1044,279,188,44,9,6
2017,10118,5054,4504,3987,1756,395,95,79,24,11
2018,2959,15187,4359,2210,1789,789,286,67,48,25
