Year	Catch	Index
1964	1.517	1.82
1965	1.687	2.05
1966	2.197	5.66
1967	2.349	2.07
1968	1.999	1.07
1969	2.518	2.39
1970	2.716	6.49
1971	4.183	1.26
1972	4.512	1.58
1973	2.976	1.20
1974	2.218	1.46
1975	2.937	2.06
1976	1.893	3.93
1977	3.594	3.99
1978	3.250	3.10
1979	3.064	3.83
1980	3.975	1.87
1981	4.012	2.43
1982	2.980	2.69
1983	3.908	2.36
1984	3.931	2.45
1985	2.163	1.12
1986	1.787	2.18
1987	2.669	0.89
1988	2.859	1.27
1989	1.891	1.05
